Date,Door,Device ID,Device,User Group,User,Event
2019-04-01 16:21:00,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,95852,1:N authentication succeeded (Face)
2019-04-01 16:20:59,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,90581,1:N authentication succeeded (Face)
2019-04-01 16:20:54,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,100784,1:N authentication succeeded (Face)
2019-04-01 16:20:51,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,92819,1:N authentication succeeded (Face)
2019-04-01 16:20:16,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,95924,1:N authentication succeeded (Face)
2019-04-01 16:20:12,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,102953,1:N authentication succeeded (Face)
2019-04-01 16:20:06,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,102954,1:N authentication succeeded (Face)
2019-04-01 16:20:05,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,87652,1:N authentication succeeded (Face)
2019-04-01 16:20:05,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,102899,1:N authentication succeeded (Face)
2019-04-01 16:20:01,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,65365,1:N authentication succeeded (Face)
2019-04-01 16:19:54,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,100480,1:N authentication succeeded (Face)
2019-04-01 16:19:08,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,100312,1:N authentication succeeded (Face)
2019-04-01 16:19:08,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,84891,1:N authentication succeeded (Face)
2019-04-01 16:19:01,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,102431,1:N authentication succeeded (Face)
2019-04-01 16:18:55,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,95554,1:N authentication succeeded (Face)
