Fecha	ID Dispositivo	Dispositivo	Grupo Usuario	Usuario	Evento
17/12/2019 07:24	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	115583	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:24	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	67498	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:24	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	119522	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:23	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	69252	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:21	542185239	FaceStation 2 542185239 (192.168.1.200)	All Users	974	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:21	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	530	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:20	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	463	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:20	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	1524	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:19	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	1134	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:19	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	63070	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:19	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	50800	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:19	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	116431	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:18	542185239	FaceStation 2 542185239 (192.168.1.200)	All Users	67609	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:18	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	42973	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:17	542185239	FaceStation 2 542185239 (192.168.1.200)	All Users	166	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:17	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	119232	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:17	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	116514	1:N Autenticaciￃﾳn exitosa (Rostro)
